"REF_DATE","GEO","DGUID","Household income","Energy type","Energy consumption","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2016A000011124","$40,000 to $59,999","Electricity","Proportion of total energy","Percent","239","units","0","v101904561","1.3.2.3","51.3","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Electricity","Number of households","Number","223","units","0","v101904562","1.3.2.4","1930963","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Natural gas","Gigajoules","Gigajoules","143","units","0","v101904563","1.3.3.1","65211080","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v101904564","1.3.3.2","81.5","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Natural gas","Proportion of total energy","Percent","239","units","0","v101904565","1.3.3.3","43.0","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Natural gas","Number of households","Number","223","units","0","v101904566","1.3.3.4","799725","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Heating oil","Gigajoules","Gigajoules","143","units","0","v101904567","1.3.4.1","8770964","","","","0"
"2011","Canada","2016A000011124","$40,000 to $59,999","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v101904568","1.3.4.2","57.6","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Heating oil","Proportion of total energy","Percent","239","units","0","v101904569","1.3.4.3","5.8","","","","1"
"2011","Canada","2016A000011124","$40,000 to $59,999","Heating oil","Number of households","Number","223","units","0","v101904570","1.3.4.4","152361","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v101904571","1.4.1.1","161241069","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v101904572","1.4.1.2","94.3","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Total, all energy types","Number of households","Number","223","units","0","v101904573","1.4.1.4","1708977","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Electricity","Gigajoules","Gigajoules","143","units","0","v101904574","1.4.2.1","75068278","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Electricity","Gigajoules per household","Gigajoules","143","units","0","v101904575","1.4.2.2","43.9","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Electricity","Proportion of total energy","Percent","239","units","0","v101904576","1.4.2.3","46.6","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Electricity","Number of households","Number","223","units","0","v101904577","1.4.2.4","1708977","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Natural gas","Gigajoules","Gigajoules","143","units","0","v101904578","1.4.3.1","78014378","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v101904579","1.4.3.2","86.1","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Natural gas","Proportion of total energy","Percent","239","units","0","v101904580","1.4.3.3","48.4","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Natural gas","Number of households","Number","223","units","0","v101904581","1.4.3.4","906069","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Heating oil","Gigajoules","Gigajoules","143","units","0","v101904582","1.4.4.1","8158414","","","","0"
"2011","Canada","2016A000011124","$60,000 to $79,999","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v101904583","1.4.4.2","55.8","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Heating oil","Proportion of total energy","Percent","239","units","0","v101904584","1.4.4.3","5.1","","","","1"
"2011","Canada","2016A000011124","$60,000 to $79,999","Heating oil","Number of households","Number","223","units","0","v101904585","1.4.4.4","146311","","","","0"
"2011","Canada","2016A000011124","$80,000 to $99,999","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v101904586","1.5.1.1","132025891","","","","0"
"2011","Canada","2016A000011124","$80,000 to $99,999","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v101904587","1.5.1.2","100.2","","","","1"
"2011","Canada","2016A000011124","$80,000 to $99,999","Total, all energy types","Number of households","Number","223","units","0","v101904588","1.5.1.4","1317765","","","","0"
"2011","Canada","2016A000011124","$80,000 to $99,999","Electricity","Gigajoules","Gigajoules","143","units","0","v101904589","1.5.2.1","56102104","","","","0"
"2011","Canada","2016A000011124","$80,000 to $99,999","Electricity","Gigajoules per household","Gigajoules","143","units","0","v101904590","1.5.2.2","42.6","","","","1"
"2011","Canada","2016A000011124","$80,000 to $99,999","Electricity","Proportion of total energy","Percent","239","units","0","v101904591","1.5.2.3","42.5","","","","1"
"2011","Canada","2016A000011124","$80,000 to $99,999","Electricity","Number of households","Number","223","units","0","v101904592","1.5.2.4","1317765","","","","0"
"2011","Canada","2016A000011124","$80,000 to $99,999","Natural gas","Gigajoules","Gigajoules","143","units","0","v101904593","1.5.3.1","70037313","","","","0"
"2011","Canada","2016A000011124","$80,000 to $99,999","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v101904594","1.5.3.2","84.7","","","","1"
"2011","Canada","2016A000011124","$80,000 to $99,999","Natural gas","Proportion of total energy","Percent","239","units","0","v101904595","1.5.3.3","53.0","","","","1"
"2011","Canada","2016A000011124","$80,000 to $99,999","Natural gas","Number of households","Number","223","units","0","v101904596","1.5.3.4","826853","","","","0"
"2011","Canada","2016A000011124","$80,000 to $99,999","Heating oil","Gigajoules","Gigajoules","143","units","0","v101904597","1.5.4.1","5886474","","","","0"
"2011","Canada","2016A000011124","$80,000 to $99,999","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v101904598","1.5.4.2","56.5","","","","1"
"2011","Canada","2016A000011124","$80,000 to $99,999","Heating oil","Proportion of total energy","Percent","239","units","0","v101904599","1.5.4.3","4.5","E","","","1"
"2011","Canada","2016A000011124","$80,000 to $99,999","Heating oil","Number of households","Number","223","units","0","v101904600","1.5.4.4","104104","E","","","0"
"2011","Canada","2016A000011124","$100,000 to $149,999","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v101904601","1.6.1.1","209648749","","","","0"
"2011","Canada","2016A000011124","$100,000 to $149,999","Total, all energy types","Gigajoules per household","Gigajoules","143","units","0","v101904602","1.6.1.2","116.3","","","","1"
"2011","Canada","2016A000011124","$100,000 to $149,999","Total, all energy types","Number of households","Number","223","units","0","v101904603","1.6.1.4","1803260","","","","0"
"2011","Canada","2016A000011124","$100,000 to $149,999","Electricity","Gigajoules","Gigajoules","143","units","0","v101904604","1.6.2.1","87499083","","","","0"
"2011","Canada","2016A000011124","$100,000 to $149,999","Electricity","Gigajoules per household","Gigajoules","143","units","0","v101904605","1.6.2.2","48.5","","","","1"
"2011","Canada","2016A000011124","$100,000 to $149,999","Electricity","Proportion of total energy","Percent","239","units","0","v101904606","1.6.2.3","41.7","","","","1"
"2011","Canada","2016A000011124","$100,000 to $149,999","Electricity","Number of households","Number","223","units","0","v101904607","1.6.2.4","1803260","","","","0"
"2011","Canada","2016A000011124","$100,000 to $149,999","Natural gas","Gigajoules","Gigajoules","143","units","0","v101904608","1.6.3.1","115290117","","","","0"
"2011","Canada","2016A000011124","$100,000 to $149,999","Natural gas","Gigajoules per household","Gigajoules","143","units","0","v101904609","1.6.3.2","98.4","","","","1"
"2011","Canada","2016A000011124","$100,000 to $149,999","Natural gas","Proportion of total energy","Percent","239","units","0","v101904610","1.6.3.3","55.0","","","","1"
"2011","Canada","2016A000011124","$100,000 to $149,999","Natural gas","Number of households","Number","223","units","0","v101904611","1.6.3.4","1171668","","","","0"
"2011","Canada","2016A000011124","$100,000 to $149,999","Heating oil","Gigajoules","Gigajoules","143","units","0","v101904612","1.6.4.1","6859549","E","","","0"
"2011","Canada","2016A000011124","$100,000 to $149,999","Heating oil","Gigajoules per household","Gigajoules","143","units","0","v101904613","1.6.4.2","64.9","","","","1"
"2011","Canada","2016A000011124","$100,000 to $149,999","Heating oil","Proportion of total energy","Percent","239","units","0","v101904614","1.6.4.3","3.3","E","","","1"
"2011","Canada","2016A000011124","$100,000 to $149,999","Heating oil","Number of households","Number","223","units","0","v101904615","1.6.4.4","105698","","","","0"
"2011","Canada","2016A000011124","$150,000 and more","Total, all energy types","Gigajoules","Gigajoules","143","units","0","v101904616","1.7.1.1","172826351","","","","0"
